created_at,full_text
Thu May 25 07:39:52 +0000 2023,@kalurng jangan yakinkan
Thu May 25 07:39:50 +0000 2023,@MarahIchsan @jokowi @KemenPU simple koq cara berpikirnya agar berkesan tdk menyudutkan salah 1 sosok...indonesia merdeka tahun brp
Thu May 25 07:39:33 +0000 2023,@irenejuliency @aniesbaswedan lah goblok itu korupsi BTS di pemerintahan jkw
Thu May 25 07:39:09 +0000 2023,Pengamat Politik Ujang Komarudin mengatakan pertemuan antara Tony dan Prabowo Subianto bisa jadi adalah sinyal dukungan dari pihak luar negeri bagi Prabowo yang akan mencalonkan diri menjadi presiden di pilpres 2024 mendatang.\n#SemuaDukungPrabowo #IkutPakde
Thu May 25 07:39:20 +0000 2023,Warga Tionghoa yang dukung Anies presiden 2024
Thu May 25 07:40:45 +0000 2023,@Rizkihadi @NgilmuKantiLaku @VIVAcoid Kalau ganjar presiden mah parah
Thu May 25 07:39:52 +0000 2023,@prastow @KATADATAcoid jadi bingung
Thu May 25 07:40:35 +0000 2023,@letitcuddle lucu
Thu May 25 07:40:40 +0000 2023,@Shopeay berapa
Thu May 25 07:39:27 +0000 2023,@tvOneNews Inti masalahnya hal 'suka atau tidak suka nonton b....p itu tidak perlu
Thu May 25 07:40:05 +0000 2023,@bosedii @poppo1310 @kompascom Wkwkwwk kaum Abu Jahal selalu aja mengingkari kebenaran
Thu May 25 07:39:08 +0000 2023,@Aiek_Speechless satu2nya yg bisa melarang perlakuan tidak adil spt ini ya presiden...krn polri langsung dibawah presiden....artinya presiden jokowi tdk mampu....mari berharap dr presiden yad.......amin
Thu May 25 07:40:31 +0000 2023,@jevdai gamau
Thu May 25 07:39:36 +0000 2023,@ValenNovel @itsamareguzel Itu tetulis buat 2026... apa mau fitnah presiden 2024? Semoga Anies Presiden dan membatalkan itu.
Thu May 25 07:39:14 +0000 2023,@PDemokrat Sampai saat ini tidak ada gagasan yang keluar dari mulut Anies Baswedan. Yang ada sindiran (yg sering dia lakukan juga)
Thu May 25 07:39:25 +0000 2023,@republikaonline Harusnya sih seumur hidup
Thu May 25 07:40:28 +0000 2023,Prabowo tak mau menjawab pertanyaan wartawan seputar koalisi dan calon wakil presiden.#SemuaDukungPrabowo #IkutPakde Prabowo Subianto
Thu May 25 07:37:40 +0000 2023,Presiden LaLiga Javier Tebas meminta maaf usai balik menyerang curhatan Vinicius Jr di Twitter. Vinicius Jr mendapatkan perlakuan rasisme saat menghadapi Valencia. https://t.co/MPKcE390Oe
Thu May 25 07:37:44 +0000 2023,Maaf menurut Bu Sri Mulyani
Thu May 25 07:38:50 +0000 2023,AHY Buka-bukaan Utang Indonesia hampir 8000 Triliun Plus Bunga
Thu May 25 07:38:27 +0000 2023,@Moechyai trans : \nANYING BANGET\nCARI PERHATIAN GA GINI JUGA\nANJING
Thu May 25 07:38:28 +0000 2023,@KakekHalal Kalau berpikir bisa jadi presiden utk melawan radikal itu pikiran tendisius yang akan selalu memunculkan pro kontra di masyarakat Indonesia
Thu May 25 07:39:02 +0000 2023,@Indostransfer Busetttt Thailand beruntung banget ndos wkakakkaa
Thu May 25 07:38:02 +0000 2023,Tina Turner Meninggal Dunia
Thu May 25 07:37:47 +0000 2023,Menurut Pengamat Politik Burhanuddin Muhtadi
Thu May 25 07:37:36 +0000 2023,@Dennysiregar7 sangat setuju
Thu May 25 07:38:31 +0000 2023,@banyakblabur @Dennysiregar7 Milih Presiden atau milih rektor?
Thu May 25 07:25:19 +0000 2023,@Anak__Ogi @PDemokrat @AgusYudhoyono @Hasbil_Lbs lah yg beleng tu loe yg sotta baca data utuang
Thu May 25 07:38:10 +0000 2023,Ketahuilah  Guys  Presiden Jokowi Punya 3 Prinsip Hidup Menarik Berbasis Filosofi Jawa yang Pantas Ditiru https://t.co/a9b07pL9RB
Thu May 25 07:39:04 +0000 2023,Keberhasilan berbasis kegagalan hahaha . . Gak ada prestasi apa2 kok ngaku berhasil. \n\nDi Depan 100 Ekonom
Thu May 25 07:37:26 +0000 2023,@zoelfick Iyain aja .. jokowi berhasil membangun jalan paling panjang 
Thu May 25 07:37:48 +0000 2023,Uni Ekonomi Eurasia menguat meskipun ada tekanan Barat
Thu May 25 07:37:01 +0000 2023,@Kingcube12 @unexmati @narkosun Luar biasa sekali ya bang
Wed May 24 01:03:38 +0000 2023,Wapres Ma'ruf Peringatkan Copot Menteri yang Kampanye dan Abaikan Tugas https://t.co/mQyFvHJ4Nr
Thu May 25 07:35:56 +0000 2023,Saya amat bersetuju dengan kenyataan Presiden KAI!
Thu May 25 07:35:18 +0000 2023,@prastow @KATADATAcoid Harusnya dari dulu seperti ini.\nTapi para buzzerp membuat seolah-olah hanya presiden Jokowi yg paling hebat.
Wed May 24 16:10:25 +0000 2023,Amien Rais Sebut Masa Depan Jokowi Bakal Suram https://t.co/w6VpfKnBl9
Thu May 25 07:36:36 +0000 2023,@kataninalho Besok 4nies akan menjadi Presiden di Republik Polling
Thu May 25 07:37:06 +0000 2023,Sesuram-suramnya pak Jokowi adalah pernah Presiden
Thu May 25 07:36:55 +0000 2023,@Sarinah116 @tifsembiring Suara dari setiap kelurahan itu bro..\nSalam saya dari Anak Medan dukung pak Anies jdi Presiden 2024
Thu May 25 07:36:07 +0000 2023,@sutanmangara Mantap Bang
Thu May 25 07:36:59 +0000 2023,baru dilantik Presiden Joko Widodo pada Desember 2020.\n\nSaya gak baca detail karena saya gak bisa intervensi apapun di situ
