Name,Text,Like,Caption,Post_Category
daffa.azhar_,"Tapi...apakah nanti ada penambahan rute.....semisal kayak angkot feeder macam di solo atau wira wiri surabaya.....karna dari rute yg saya liat untuk bacitra ??? (Sebut aja begitu...soalnya kalo disingkat BCT gak enak di dengar 😂), karena ada lokasi2 yg ramai tapi belum ada rute busnya...tapi daerah itu juga jalannya kecil dan lumayan berbukit.",8 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
iraw.an9944,Nyaman dan bus menuju Samarinda Kalimantan.... melewati lika-liku perjalanan.,Reply,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
j_jtaslim,"Mantaffff,angkot balikpapan yang mulai tersisih",2 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
adib_sastranegara,"Semoga ada koridor juga kearah kilo 24(Ujung Bpp) sama Kawasan Industri Kariangau,, kayaknya banyak pekerja perusahaan yang siap makai min 🔥🙌",16 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
almustaqim.ap,"Klaten minn ya allah, jogja solo aja mosok klaten ga onok-_",Reply,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
ramadani.id,Siap meramaikan 🔥,1 like,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
butik_lovely2,Ditunggu teman bus ke /dari pelabuhan Trisakti dan ke/dari bandara Syamsudin Noor Banjarmasin,2 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
agustinawidyati,🔥,Reply,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
nathaliachantikazaharazahara,Dimn beli atau buat kartu buat naik bis,Reply,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
bayupriambudi,"jossss, Balikpapan aja bisa masuk bandara, @transbanjarbakulaofficial ayo gass masuk bandara juga",1 like,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
